doi	Institution	Journal Title	Journal Discipline	Journal ISSN	Journal eISSN	Year
10.1007/s00167-016-4234-7	Karolinska Institute	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2016
10.1007/s10865-016-9769-z	Karolinska Institute	Journal of Behavioral Medicine	Medicine & Public Health	0160-7715	1573-3521	2016
10.1007/s10546-016-0190-5	Royal Institute of Technology	Boundary-Layer Meteorology	Earth Sciences	0006-8314	1573-1472	2016
10.1007/s10851-016-0677-1	Lund University	Journal of Mathematical Imaging and Vision	Computer Science	0924-9907	1573-7683	2016
10.1007/s10472-016-9521-y	Linköping University	Annals of Mathematics and Artificial Intelligence	Computer Science	1012-2443	1573-7470	2016
10.1007/s10961-016-9490-7	Karolinska Institute	The Journal of Technology Transfer	Business and Management	0892-9912	1573-7047	2016
10.1007/s00223-016-0174-y	Lund University	Calcified Tissue International	Life Sciences		1432-0827	2016
10.1007/s11135-016-0390-6	Linnaeus University	Quality & Quantity	Social Sciences	0033-5177	1573-7845	2016
10.1007/s00769-016-1228-6	Karolinska Institute	Accreditation and Quality Assurance	Chemistry	0949-1775	1432-0517	2016
10.1007/s00420-016-1156-0	Karolinska Institute	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2016
10.1007/s00426-016-0787-9	Stockholm University	Psychological Research	Psychology	0340-0727	1430-2772	2016
10.1007/s00268-016-3632-9	University of Gothenburg	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2016
10.1007/s13277-016-5280-y	Malmö University	Tumor Biology	Biomedicine	1010-4283	1423-0380	2016
10.1007/s10822-016-9926-z	University of Gothenburg	Journal of Computer-Aided Molecular Design	Chemistry	0920-654X	1573-4951	2016
10.1007/s00712-016-0503-7	Stockholm University	Journal of Economics	Economics	0931-8658	1617-7134	2016
10.1007/s11864-016-0426-0	Lund University	Current Treatment Options in Oncology	Medicine & Public Health		1534-6277	2016
10.1007/s10854-016-5387-3	Uppsala University	Journal of Materials Science: Materials in Electronics	Materials Science	0957-4522	1573-482X	2016
10.1007/s10544-016-0097-4	Royal Institute of Technology	Biomedical Microdevices	Engineering	1387-2176	1572-8781	2016
10.1007/s10470-016-0800-7	Lund University	Analog Integrated Circuits and Signal Processing	Engineering	0925-1030	1573-1979	2016
10.1007/s11136-016-1367-6	Umea University	Quality of Life Research	Medicine & Public Health	0962-9343	1573-2649	2016
10.1007/s11060-016-2202-1	University of Gothenburg	Journal of Neuro-Oncology	Medicine & Public Health	0167-594X	1573-7373	2016
10.1007/s00464-016-5096-2	University of Gothenburg	Surgical Endoscopy	Medicine & Public Health	0930-2794	1432-2218	2016
10.1007/s11229-016-1155-4	Uppsala University	Synthese	Philosophy	0039-7857	1573-0964	2016
10.1007/s10433-016-0394-z	Karolinska Institute	European Journal of Ageing	Social Sciences	1613-9372	1613-9380	2016
10.1007/s11071-016-2994-8	Lulea University of Technology	Nonlinear Dynamics	Engineering	0924-090X	1573-269X	2016
10.1007/s10669-016-9605-6	Swedish University of Agricultural Sciences	Environment Systems and Decisions	Environment	2194-5403	2194-5411	2016
10.1007/s00396-016-3927-2	Lund University	Colloid and Polymer Science	Chemistry	0303-402X	1435-1536	2016
10.1007/s13164-016-0318-z	Lund University	Review of Philosophy and Psychology	Philosophy	1878-5158	1878-5166	2016
10.1007/s10342-016-0981-8	Swedish University of Agricultural Sciences	European Journal of Forest Research	Life Sciences	1612-4669	1612-4677	2016
10.1007/s40889-016-0026-7	Stockholm University	International Journal of Ethics Education	Philosophy	2363-9997	2364-0006	2016
10.1007/s00405-016-4239-3	Örebro University	European Archives of Oto-Rhino-Laryngology	Medicine & Public Health	0937-4477	1434-4726	2016
10.1007/s00181-016-1133-1	Uppsala University	Empirical Economics	Economics	0377-7332	1435-8921	2016
10.1007/s00784-016-1939-4	Karolinska Institute	Clinical Oral Investigations	Dentistry	1432-6981	1436-3771	2016
10.1007/s00259-016-3476-4	Karolinska Institute	European Journal of Nuclear Medicine and Molecular Imaging	Medicine & Public Health	1619-7070	1619-7089	2016
10.1007/s00382-016-3299-9	Stockholm University	Climate Dynamics	Earth Sciences	0930-7575	1432-0894	2016
10.1007/s11663-016-0768-9	Royal Institute of Technology	Metallurgical and Materials Transactions B	Materials Science	1073-5615	1543-1916	2016
10.1007/s10706-016-0069-8	Royal Institute of Technology	Geotechnical and Geological Engineering	Earth Sciences	0960-3182	1573-1529	2016
10.1007/s00167-016-4270-3	Karolinska Institute	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2016
10.1007/s11019-016-9723-4	Karolinska Institute	"Medicine, Health Care and Philosophy"	Philosophy	1386-7423	1572-8633	2016
10.1007/s10955-016-1607-8	University of Gothenburg	Journal of Statistical Physics	Physics	0022-4715	1572-9613	2016
10.1007/s00181-016-1123-3	Lund University	Empirical Economics	Economics	0377-7332	1435-8921	2016
10.1007/s00592-016-0903-8	Lund University	Acta Diabetologica	Medicine & Public Health	0940-5429	1432-5233	2016
10.1007/s11665-016-2294-y	Royal Institute of Technology	Journal of Materials Engineering and Performance	Materials Science	1059-9495	1544-1024	2016
10.1007/s11192-016-2097-9	Umea University	Scientometrics	Computer Science	0138-9130	1588-2861	2016
10.1007/s00170-016-9296-7	Lund University	The International Journal of Advanced Manufacturing Technology	Engineering	0268-3768	1433-3015	2016
10.1007/s10270-016-0554-9	Stockholm University	Software & Systems Modeling	Computer Science	1619-1366	1619-1374	2016
10.1007/s11229-016-1186-x	Stockholm University	Synthese	Philosophy	0039-7857	1573-0964	2016
10.1007/s00384-016-2628-0	University of Gothenburg	International Journal of Colorectal Disease	Medicine & Public Health	0179-1958	1432-1262	2016
10.1007/s10021-016-0020-0	Umea University	Ecosystems	Life Sciences	1432-9840	1435-0629	2016
10.1007/s00453-016-0202-3	Lund University	Algorithmica	Computer Science	0178-4617	1432-0541	2016
10.1007/s10494-016-9760-3	Chalmers University of Technology	"Flow, Turbulence and Combustion"	Engineering	1386-6184	1573-1987	2016
10.1007/s11144-016-1069-7	Umea University	"Reaction Kinetics, Mechanisms and Catalysis"	Chemistry	1878-5190	1878-5204	2016
10.1007/s40750-016-0052-x	Linköping University	Adaptive Human Behavior and Physiology	Social Sciences		2198-7335	2016
10.1007/s13225-016-0372-y	Swedish Museum of Natural History	Fungal Diversity	Life Sciences	1560-2745	1878-9129	2016
10.1617/s11527-016-0871-z	Royal Institute of Technology	Materials and Structures	Engineering	1359-5997	1871-6873	2016
10.1007/s00192-016-3119-0	Karolinska Institute	International Urogynecology Journal	Medicine & Public Health	0937-3462	1433-3023	2016
10.1007/s00158-016-1553-8	Umea University	Structural and Multidisciplinary Optimization	Engineering	1615-147X	1615-1488	2016
10.1007/s10295-016-1814-y	Chalmers University of Technology	Journal of Industrial Microbiology & Biotechnology	Life Sciences	1367-5435	1476-5535	2016
10.1007/s00266-016-0684-z	University of Gothenburg	Aesthetic Plastic Surgery	Medicine & Public Health	0364-216X	1432-5241	2016
10.1007/s00366-016-0476-8	Linköping University	Engineering with Computers	Computer Science	0177-0667	1435-5663	2016
10.1007/s10844-016-0427-2	Uppsala University	Journal of Intelligent Information Systems	Computer Science	0925-9902	1573-7675	2016
10.1007/s00277-016-2787-7	Karolinska Institute	Annals of Hematology	Medicine & Public Health	0939-5555	1432-0584	2016
10.1007/s11239-016-1411-y	Umea University	Journal of Thrombosis and Thrombolysis	Medicine & Public Health	0929-5305	1573-742X	2016
10.1007/s11899-016-0335-0	Uppsala University	Current Hematologic Malignancy Reports	Medicine & Public Health	1558-8211	1558-822X	2016
10.1007/s00158-016-1547-6	Linköping University	Structural and Multidisciplinary Optimization	Engineering	1615-147X	1615-1488	2016
10.1007/s00213-016-4385-8	Linköping University	Psychopharmacology	Biomedicine	0033-3158	1432-2072	2016
10.1007/s11663-016-0780-0	Royal Institute of Technology	Metallurgical and Materials Transactions B	Materials Science	1073-5615	1543-1916	2016
10.1007/s12076-016-0176-4	Umea University	Letters in Spatial and Resource Sciences	Economics	1864-4031	1864-404X	2016
10.1007/s10071-016-1015-0	Lund University	Animal Cognition	Life Sciences	1435-9448	1435-9456	2016
10.1007/s00125-016-4074-5	Karolinska Institute	Diabetologia	Medicine & Public Health	0012-186X	1432-0428	2016
10.1007/s00424-016-1864-z	Uppsala University	Pflügers Archiv - European Journal of Physiology	Biomedicine	0031-6768	1432-2013	2016
10.1007/s00268-016-3705-9	Karolinska Institute	World Journal of Surgery	Medicine & Public Health	0364-2313	1432-2323	2016
10.1007/s00384-016-2636-0	University of Gothenburg	International Journal of Colorectal Disease	Medicine & Public Health	0179-1958	1432-1262	2016
10.1007/s10928-016-9486-9	Uppsala University	Journal of Pharmacokinetics and Pharmacodynamics	Biomedicine	1567-567X	1573-8744	2016
10.1007/s00425-016-2585-4	Linköping University	Planta	Life Sciences	0032-0935	1432-2048	2016
10.1007/s11116-016-9731-5	Royal Institute of Technology	Transportation	Economics	0049-4488	1572-9435	2016
10.1007/s11244-016-0690-z	Uppsala University	Topics in Catalysis	Chemistry	1022-5528	1572-9028	2016
10.1007/s00216-016-9812-5	University of Gothenburg	Analytical and Bioanalytical Chemistry	Chemistry	1618-2642	1618-2650	2016
10.1007/s40571-016-0120-9	Lulea University of Technology	Computational Particle Mechanics	Engineering	2196-4378	2196-4386	2016
10.1007/s40831-016-0072-6	Chalmers University of Technology	Journal of Sustainable Metallurgy	Environment	2199-3823	2199-3831	2016
10.1007/s11896-016-9206-9	University of Gothenburg	Journal of Police and Criminal Psychology	Psychology	0882-0783	1936-6469	2016
10.1007/s13361-016-1460-7	Royal Institute of Technology	Journal of The American Society for Mass Spectrometry	Chemistry	1044-0305	1879-1123	2016
10.1007/s00502-016-0424-8	Umea University	e & i Elektrotechnik und Informationstechnik	Engineering	0932-383X	1613-7620	2016
10.1007/s10534-016-9959-8	Karolinska Institute	BioMetals	Life Sciences	0966-0844	1572-8773	2016
10.1007/s10948-016-3666-0	Chalmers University of Technology	Journal of Superconductivity and Novel Magnetism	Physics	1557-1939	1557-1947	2016
10.1007/s00425-016-2580-9	Swedish University of Agricultural Sciences	Planta	Life Sciences	0032-0935	1432-2048	2016
10.1007/s00466-016-1317-8	Royal Institute of Technology	Computational Mechanics	Engineering	0178-7675	1432-0924	2016
10.1007/s00167-016-4294-8	Linköping University	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2016
10.1007/s00464-016-5173-6	Karolinska Institute	Surgical Endoscopy	Medicine & Public Health	0930-2794	1432-2218	2016
10.1007/s12122-016-9233-4	Linnaeus University	Journal of Labor Research	Social Sciences	0195-3613	1936-4768	2016
10.1007/s00420-016-1163-1	University of Gothenburg	International Archives of Occupational and Environmental Health	Environment	0340-0131	1432-1246	2016
10.1007/s10980-016-0434-2	Swedish University of Agricultural Sciences	Landscape Ecology	Life Sciences	0921-2973	1572-9761	2016
10.1007/s10822-016-9948-6	Lund University	Journal of Computer-Aided Molecular Design	Chemistry	0920-654X	1573-4951	2016
10.1007/s00208-016-1447-5	Uppsala University	Mathematische Annalen	Mathematics	0025-5831	1432-1807	2016
10.1007/s11365-016-0405-8	Lund University	International Entrepreneurship and Management Journal	Business and Management	1554-7191	1555-1938	2016
10.1007/s00606-016-1335-1	Stockholm University	Plant Systematics and Evolution	Life Sciences	0378-2697	2199-6881	2016
10.1007/s10570-016-1029-4	Mid Sweden University	Cellulose	Chemistry	0969-0239	1572-882X	2016
10.1007/s10853-016-0262-4	Linköping University	Journal of Materials Science	Materials Science	0022-2461	1573-4803	2016
10.1007/s00244-016-0303-7	Kristianstad University	Archives of Environmental Contamination and Toxicology	Environment	0090-4341	1432-0703	2016
10.1007/s00726-016-2316-y	Karolinska Institute	Amino Acids	Life Sciences	0939-4451	1438-2199	2016
10.1007/s10113-016-1039-7	Stockholm University	Regional Environmental Change	Environment	1436-3798	1436-378X	2016
10.1007/s10892-016-9238-5	Uppsala University	The Journal of Ethics	Philosophy	1382-4554	1572-8609	2016
10.1007/s11225-016-9681-0	Royal Institute of Technology	Studia Logica	Philosophy	0039-3215	1572-8730	2016
10.1007/s10549-016-3928-3	Uppsala University	Breast Cancer Research and Treatment	Medicine & Public Health	0167-6806	1573-7217	2016
10.1007/s12350-016-0628-7	Lund University	Journal of Nuclear Cardiology	Medicine & Public Health	1071-3581	1532-6551	2016
10.1007/s10584-016-1753-7	Karolinska Institute	Climatic Change	Earth Sciences	0165-0009	1573-1480	2016
10.1007/s12649-016-9643-9	Lund University	Waste and Biomass Valorization	Engineering	1877-2641	1877-265X	2016
10.1007/s10677-016-9747-0	Lund University	Ethical Theory and Moral Practice	Philosophy	1386-2820	1572-8447	2016
10.1007/s11136-016-1373-8	University of Gävle	Quality of Life Research	Medicine & Public Health	0962-9343	1573-2649	2016
10.1007/s00228-016-2105-2	Karolinska Institute	European Journal of Clinical Pharmacology	Biomedicine	0031-6970	1432-1041	2016
10.1007/s10805-016-9265-7	Umea University	Journal of Academic Ethics	Education	1570-1727	1572-8544	2016
10.1007/s00423-016-1501-5	Karolinska Institute	Langenbeck's Archives of Surgery	Medicine & Public Health	1435-2443	1435-2451	2016
10.1007/s00894-016-3085-y	Linköping University	Journal of Molecular Modeling	Chemistry	1610-2940	0948-5023	2016
10.1007/s10955-016-1604-y	Uppsala University	Journal of Statistical Physics	Physics	0022-4715	1572-9613	2016
10.1007/s10822-016-9942-z	Lund University	Journal of Computer-Aided Molecular Design	Chemistry	0920-654X	1573-4951	2016
10.1007/s00167-016-4280-1	University of Gothenburg	"Knee Surgery, Sports Traumatology, Arthroscopy"	Medicine & Public Health	0942-2056	1433-7347	2016
10.1007/s00394-016-1298-6	Karolinska Institute	European Journal of Nutrition	Chemistry	1436-6207	1436-6215	2016
10.1007/s11367-016-1182-x	Chalmers University of Technology	The International Journal of Life Cycle Assessment	Environment	0948-3349	1614-7502	2016
10.1007/s13524-016-0498-2	Stockholm University	Demography	Social Sciences	0070-3370	1533-7790	2016
10.1007/s10693-016-0258-x	Royal Institute of Technology	Journal of Financial Services Research	Finance	0920-8550	1573-0735	2016
10.1007/s00421-016-3473-0	Karolinska Institute	European Journal of Applied Physiology	Biomedicine	1439-6319	1439-6327	2016
10.1007/s40831-016-0088-y	Royal Institute of Technology	Journal of Sustainable Metallurgy	Environment	2199-3823	2199-3831	2016
10.1007/s10886-016-0753-4	Swedish University of Agricultural Sciences	Journal of Chemical Ecology	Life Sciences	0098-0331	1573-1561	2016
10.1007/s40072-016-0080-3	Uppsala University	Stochastics and  Partial Differential Equations: Analysis and Computations	Mathematics	2194-0401	2194-041X	2016
10.1007/s11575-016-0304-9	Mid Sweden University	Management International Review	Business and Management	0938-8249	1861-8901	2016
10.1007/s10811-016-0957-6	Chalmers University of Technology	Journal of Applied Phycology	Life Sciences	0921-8971	1573-5176	2016
10.1007/s00158-016-1569-0	University of Skövde	Structural and Multidisciplinary Optimization	Engineering	1615-147X	1615-1488	2016
10.1007/s10578-016-0684-x	Linköping University	Child Psychiatry & Human Development	Psychology	0009-398X	1573-3327	2016
10.1208/s12248-016-9991-1	Chalmers University of Technology	The AAPS Journal	Biomedicine		1550-7416	2016
10.1007/s10862-016-9570-x	Lund University	Journal of Psychopathology and Behavioral Assessment	Psychology	0882-2689	1573-3505	2016
10.1007/s00526-016-1058-8	Uppsala University	Calculus of Variations and Partial Differential Equations	Mathematics	0944-2669	1432-0835	2016
